identifiant|commune|activite|nom|prenom|type_voie|nom_voie|numero|complement_adresse|observations|remarques_saisie|source|page
1|Lyon|doreur ou passementier|Bourguignon|A.|rue|St-Côme|2|||||114
2|Lyon|doreur ou passementier|Bouvier et cie|Jh.|rue|de l'Arbre sec|32|||||114
3|Lyon|doreur ou passementier|Brunier-Maréchal et fils jeune|NI|quai|de Retz|39|||||114
4|Lyon|doreur ou passementier|Carrand-Peytel|NI|rue|Vieille Monnaie|19|||||114
5|Lyon|doreur ou passementier|Chifflet et cie|A.|grande rue|Longue|23|||||114
6|Lyon|doreur ou passementier|Courtet|Jules|rue|St Marcel|32|||||114
7|Lyon|doreur ou passementier|Damiès jeune|Ant.|rue|St Marcel|44|||||114
8|Lyon|doreur ou passementier|Devalloné|F.|rue|du Garet|9|||||114
9|Lyon|doreur ou passementier|Dime jeune et cie|NI|rue|Sirène|10|||||114
10|Lyon|doreur ou passementier|Dumortier frères|NI|rue|des Augustins|13|||||114
11|Lyon|doreur ou passementier|Dutel|C.|rue|du Griffon|1|||||114
12|Lyon|doreur ou passementier|Fichet et Rodes|J.|place|Neuve des Carmes|7|||||114
13|Lyon|doreur ou passementier|Genoulat ainé|J.|rue|de la Paix|1|||||114
14|Lyon|doreur ou passementier|Gery|Camille|rue|Quatre Chapeaux|12|||||115
15|Lyon|doreur ou passementier|Girerd et fils|NI|rue|Bât d'Argent|18|||||115
16|Lyon|doreur ou passementier|Henry frères et Jouve|A.-C.|place|des Terreaux|5|||||115
17|Lyon|doreur ou passementier|Jaillard tante et neveu|NI|rue|Lafont|12|||||115
18|Lyon|doreur ou passementier|Massard|P.|port|des Cordeliers|61|||||115
19|Lyon|doreur ou passementier|Masson-Poisat|NI|quai|St Vincent|62|||||115
20|Lyon|doreur ou passementier|Mermet|C.-L.|impasse|St Polycarpe|2|||||115
21|Lyon|doreur ou passementier|Moulin et Cie|NI|grande rue|Mercière|61|||||115
22|Lyon|doreur ou passementier|Multier et cie|J.|quai|Bon-Rencontre|65|||||115
23|Lyon|doreur ou passementier|Picollet et Degabriel|A.|rue|de l'Arbre sec|4|||||115
24|Lyon|doreur ou passementier|Picotin|A.|place|du concert|8|||||115
25|Lyon|doreur ou passementier|Sestier|F.|rue|de l'Arbre sec|15|||||115
26|Lyon|doreur ou passementier|Siméan et cie|C.|rue|Pisay|1|||||115
27|Lyon|doreur ou passementier|Tarpin père et fils|NI|rue|de la Poulaillerie|2|||||115
28|Lyon|doreur ou passementier|Valentin fils ainé|NI|rue|Bât d'Argent|9|||||115
29|Lyon|doreur ou passementier|Valentin|J.-A.-M.|rue|de Constantine|1|||||115
