identifiant|commune|activite|nom|prenom|type_voie|nom_voie|numero|complement_adresse|observations|remarques_saisie|source|page
|Lyon|fabricant de tulles|Ancel-Roy|NI|rue|de l'Herberie|2|||||119
|Lyon|fabricant de tulles|Aragon|Paul|rue|Pouteau|18|||||119
|Lyon|fabricant de tulles|Aubert|Jh.|rue|de la Grenette|34|||||119
|Lyon|fabricant de tulles|Baboin ainé|NI|rue|Royale|29|||||119
|Lyon|fabricant de tulles|Barillot et cie|NI|grande rue|Ste Catherine|3|||||119
|Lyon|fabricant de tulles|Basset|Simon|côte|St Sébastien|2|||||119
|Lyon|fabricant de tulles|Bellet|Vincent|rue|Vieille Monnaie|9|||||119
|Lyon|fabricant de tulles|Berthaud fils|Jean François|place|Rouville|1|||||119
|Lyon|fabricant de tulles|Bertet|Jean Baptiste|place|Croix-Pâquet|11|||||119
|Lyon|fabricant de tulles|Bombeaty|Jean-Fr.-Jh.|rue|des Deux Angles|19|||||119
|Lyon|fabricant de tulles|Bonnet et cie|NI|rue|Vieille Monnaie|9|||||119
|Lyon|fabricant de tulles|Broche et Mathéoud|Ph.|petite rue|des feuillants|2|||||119
|Lyon|fabricant de tulles|Buy|Mathieu|place|St Clair|6|||||119
|Lyon|fabricant de tulles|Canonge et Jeullien|NI|côte|St Sébastien|2|||||119
|Lyon|fabricant de tulles|Champailler|NI|rue|Neuve|10|||||119
|Lyon|fabricant de tulles|Champagne|A.|rue|des Capucins|13|||||119
|Lyon|fabricant de tulles|Chaponost|Pierre|rue|Lafont|2|||||119
|Lyon|fabricant de tulles|Charvet|Auguste|rue|du Griffon|2 et 4|||||119
|Lyon|fabricant de tulles|Charvillat|N.-A.|place|Croix-Pâquet|11|||||119
|Lyon|fabricant de tulles|Chevrier|Jh.-Fr.|rue|des Capucins|18|||||119
|Lyon|fabricant de tulles|Clément|Auguste|rue|Lafont|2|||||119
|Lyon|fabricant de tulles|Colusson|Pierre-François|rue|de la Barre|5|||||119
|Lyon|fabricant de tulles|Cuzieu|Pierre|rue|Talaruc|1|||||119
|Lyon|fabricant de tulles|Dégabriel et cie|NI|place|Croix-Pâquet|1|||||119
|Lyon|fabricant de tulles|Dethel|Jean|quai|St Clair|10| ||||119
|Lyon|fabricant de tulles|Dognin fils|NI|rue|des Capucins|7|||||120
|Lyon|fabricant de tulles|Ducis neveu|NI|place|des Capucins|5|||||120
|Lyon|fabricant de tulles|Ducis-Belley|NI|rue|Puits Gaillot|7|||||120
|Lyon|fabricant de tulles|Duchet|NI|rue|des Capucins|20|||||120
|Lyon|fabricant de tulles|Falcot|P.|place|Croix-Pâquet|8|||||120
|Lyon|fabricant de tulles|Farabel|P.-J.|grande rue|Ste Catherine|3|||||120
|Lyon|fabricant de tulles|Ferrand et cie|NI|rue|Pouteau|26|||||120
|Lyon|fabricant de tulles|Galand|NI|rue|Palais Grillet|19|||||120
|Lyon|fabricant de tulles|Garnier|L.|rue|du commerce|30|||||120
|Lyon|fabricant de tulles|Galion-Page|NI|rue|des Deux Angles|13|||||120
|Lyon|fabricant de tulles|Girerd|NI|rue|Tupin|34|||||120
|Lyon|fabricant de tulles|Hirsch|A.|rue|St Polycarpe|8|||||120
|Lyon|fabricant de tulles|Hirschneck|NI|rue|Maurico|3|||||120
|Lyon|fabricant de tulles|Jarnieux|Math.|rue|du commerce|36|||||120
|Lyon|fabricant de tulles|Kuister|NI|rue|Pizay|23|||||120
|Lyon|fabricant de tulles|Manigot|NI|place|Croix-Pâquet|3|||||120
|Lyon|fabricant de tulles|Manigot|J.-P.|place|St Clair|2|||||120
|Lyon|fabricant de tulles|Marietton frères|NI|grande rue|Longue|23|||||120
|Lyon|fabricant de tulles|Meyruès|NI|rue|Royale|25|||||120
|Lyon|fabricant de tulles|Musauly|Anthelme|rue|Gentil|24|||||120
|Lyon|fabricant de tulles|Onofrio cadet|NI|côte|St Sébastien|7|||||120
|Lyon|fabricant de tulles|Péju|Clément|rue|des Capucins|20 bis|||||120
|Lyon|fabricant de tulles|Robert|Jn.|rue|des Tables Claudiennes|7|||||120
|Lyon|fabricant de tulles|Roger|Jh.|rue|Clos-des-Chartreux|5|||||120
|Lyon|fabricant de tulles|Roque père et fils|NI|rue|des Capucins|7|||||120
|Lyon|fabricant de tulles|Salles jeune et cie|NI|place|des Carmes|3|||||120
|Lyon|fabricant de tulles|Saunier|Nicolas|rue|Bodin|5|||||120
|Lyon|fabricant de tulles|Sibille|H.|rue|Coisevox|2|||||120
|Lyon|fabricant de tulles|Tineire|Martial|rue|Lafont|4|||||120
|Lyon|fabricant de tulles|Vallard|Claude|rue|du commerce|39|||||120
|Lyon|fabricant de tulles|Viard frères|NI|rue|du commerce|34|||||120
|Lyon|fabricant de tulles|Vidalin|Nicolas|rue|des Capucins|27|||||120
