identifiant|commune|activite|nom|prenom|type_voie|nom_voie|numero|complement_adresse|observations|remarques_saisie|source|page
1|Lyon|guimpier|Astier frères|J.P.M.|place|de la Préfecture|13|||||116
2|Lyon|guimpier|Baritel et cie|J.-M.|rue|Pomme de pin|4|||||116
3|Lyon|guimpier|Bayet|Napoléon|quai|de Retz|46|||||116
4|Lyon|guimpier|Bayet|Claude|rue|du Garet|9|||||116
5|Lyon|guimpier|Berger|Ph.|quai|de Retz|46|||||116
6|Lyon|guimpier|Bertrand|A.|quai|de Retz|48|||||116
7|Lyon|guimpier|Biolety|J.|rue|Buisson|12|||||116
8|Lyon|guimpier|Blanquet|S.|rue|de la Lune|6|||||116
9|Lyon|guimpier|Borgat|J.|rue|Grolée|1|||||116
10|Lyon|guimpier|Bosson|Fr.|rue|Petit-David|5|||||116
11|Lyon|guimpier|Charpenel|Jn.-Jh.|rue|Buisson|18|||||116
12|Lyon|guimpier|Chevalier|J.-B.|rue|Palais Grillet|15|||||116
13|Lyon|guimpier|Chiffet et cie|A.|grande rue|Longue|23|||||116
14|Lyon|guimpier|Chomette|P.|rue|Dubois|25|||||116
15|Brotteaux|guimpier|Combet|V.|rue|Tronchet|9|||||116
16|Lyon|guimpier|Courtia|F.|place|du Perron|5|||||116
17|Lyon|guimpier|Damour|L.-M.|rue|Ferrandière|22|||||116
18|Lyon|guimpier|Dantoine (dlle)|NI|place|de la Platière|7|||||116
19|Lyon|guimpier|Dervieux|M.|rue|de la Gerbe|31|||||116
20|Lyon|guimpier|Drevet|J.-F.|rue|de la Gerbe|15|||||116
21|Lyon|guimpier|Dufour|Denis|quai|de Retz|46|||||116
22|Lyon|guimpier|Gaillard|E.|grande rue|Mercière|12|||||116
23|Lyon|guimpier|Gavot|N.|rue|Buisson|12|||||116
24|Lyon|guimpier|Gavot|E.-J.|rue|plat d'Argent|3|||||116
25|Lyon|guimpier|Gery|J.-P.|place|Grenouille|4|||||116
26|Lyon|guimpier|Guygonnet|M.|rue|de la Gerbe|15|||||116
27|Lyon|guimpier|Hôpital|Fr.|rue|de l'Arbre sec|34|||||116
28|Lyon|guimpier|Lamberty|C.-B.|rue|Dubois|20|||||116
29|Lyon|guimpier|Lecorney|H.|rue|plat d'Argent|1|||||116
30|Lyon|guimpier|Longuet veuve|NI|rue|de Pavie|9|||||116
31|Lyon|guimpier|Marciaux|F.|rue|Port-Charlet|15|||||116
32|Lyon|guimpier|Martin|F.|rue|Poulaillerie|9|||||116
33|Lyon|guimpier|Mermet|C.-L.|impasse|St Polycarpe|4|||||116
34|Lyon|guimpier|Mesmel|B.-G.|rue|Poulaillerie|24|||||117
35|Lyon|guimpier|Mésonnier|A.|quai|de Retz|45|||||117
36|Lyon|guimpier|Muraour|J.F.|place|Neuve des Carmes|14|||||117
37|Lyon|guimpier|Ollier|C.|côte|des carmélites|24|||||117
38|Lyon|guimpier|Passot|A.|rue|de la Gerbe|6|||||117
39|Lyon|guimpier|Perrot|F.|place|de la Platière|5|||||117
40|Lyon|guimpier|Pitiot|J.|rue|Poulaillerie|8|||||117
41|Lyon|guimpier|Robert|J.C.|rue|du Commerce|12|||||117
42|Lyon|guimpier|Saudon veuve|NI|rue|Tupin|36|||||117
43|Lyon|guimpier|Seillon|V.|rue|Belle Cordière|7|||||117
44|Lyon|guimpier|Tonda|J.-A.|rue|Blancherie|6|||||117
45|Lyon|guimpier|Verdier|J.-F.|rue|Palais Grillet|10|||||117
46|Lyon|guimpier|Vidal|E.|rue|Tupin|21|||||117
47|Lyon|guimpier|Warin|M.|rue|de l'Annonciade|16|||||117
